x,y
51,80
51,81
50,82
49,83
49,83
47,83
46,83
45,83
44,83
44,83
42,82
42,81
42,80
41,79
41,79
40,79
40,78
40,77
40,76
39,75
39,74
39,73
37,71
36,70
36,70
36,67
35,67
35,67
35,67
34,66
34,67
34,68
34,68
34,68
34,68
34,68
34,69
34,70
34,71
34,73
35,74
35,76
34,77
35,78
35,78
35,78
34,79
35,79
35,79
36,79
36,78
36,77
35,77
35,76
33,75
33,75
33,77
33,77
33,77
33,76
34,76
34,77
35,77
35,77
35,77
36,78
36,80
36,80
37,81
37,81
37,82
39,83
39,83
40,84
40,86
41,87
42,88
43,89
45,90
46,90
47,90
48,90
48,90
49,90
50,89
50,89
51,90
51,90
51,91
52,91
52,91
52,92
52,91
52,91
52,92
53,92
52,95
52,95
53,95
53,95
53,96
52,97
52,98
52,99
51,100
51,99
50,98
50,97
50,95
50,93
50,92
51,90
51,90
51,91
52,91
52,91
52,89
52,89
52,89
52,89
52,89
52,88
52,87
52,87
53,89
53,91
53,90
53,90
53,89
52,88
51,87
51,87
50,87
50,88
50,89
50,89
49,90
48,90
48,90
47,90
47,91
47,92
47,92
48,94
49,96
48,96
48,98
48,98
47,100
45,101
8,1045
10,1042
10,1042
10,1042
9,1041
8,1040
7,1041
7,1042
8,1040
11,1039
11,1039
13,1037
14,1036
15,1037
15,1038
16,1037
19,1038
20,1038
22,1038
23,1038
25,1039
28,1043
29,1043
29,1041
28,1038
28,1037
28,1037
29,1037
31,1041
32,1041
32,1041
32,1041
33,1044
36,1046
37,1047
37,1048
37,1048
37,1049
37,1050
38,1049
37,1048
36,1048
36,1048
37,1047
37,1047
36,1048
36,1048
34,1048
33,1046
32,1046
32,1048
31,1049
32,1049
32,1050
32,1050
31,1050
31,1050
31,1051
30,1051
30,1052
30,1051
31,1051
31,1050
31,1050
31,1050
30,1048
30,1048
29,1049
28,1048
28,1047
28,1047
29,1047
30,1048
30,1048
30,1048
31,1049
31,1050
30,1051
29,1051
29,1051
29,1052
30,1052
31,1052
32,1051
33,1051
33,1051
33,1051
34,1052
34,1052
34,1052
33,1051
33,1052
31,1051
29,1051
29,1051
28,1050
27,1049
26,1047
26,1043
26,1039
25,1037
24,1037
22,1037
22,1038
23,1039
22,1040
23,1041
23,1041
23,1041
22,1041
22,1043
23,1042
24,1041
24,1041
23,1041
23,1041
23,1041
23,1042
23,1042
23,1043
22,1044
22,1045
20,1045
20,1045
19,1046
18,1045
18,1045
16,1045
16,1046
16,1046
15,1046
14,1046
14,1044
15,1044
15,1044
16,1045
16,1046
15,1045
15,1045
13,1046
12,1048
11,1048
9,1050
9,1050
8,1052
7,1052
6,1052
8,1051
9,1051
12,1051
1866,61
1868,55
1869,53
1869,51
1871,49
1871,48
1870,48
1870,48
1869,50
1870,48
1870,48
1871,46
1871,46
1873,45
1873,45
1872,44
1871,40
1870,38
1868,36
1867,34
1867,34
1867,34
1867,34
1867,34
1866,34
1866,34
1866,35
1866,36
1866,38
1867,39
1870,40
1872,40
1873,40
1874,41
1876,41
1877,41
1877,41
1877,41
1876,42
1875,42
1873,43
1872,43
1871,42
1870,42
1869,41
1870,40
1871,40
1872,39
1871,39
1870,40
1869,40
1868,40
1867,40
1866,41
1867,42
1867,42
1870,40
1871,38
1871,38
1873,38
1873,38
1872,38
1872,37
1872,36
1872,36
1874,35
1874,35
1874,36
1874,36
1874,37
1873,36
1872,36
1872,36
1871,36
1870,36
1870,36
1870,36
1870,37
1871,38
1872,38
1873,38
1872,37
1873,38
1873,38
1874,38
1874,38
1874,38
1873,38
1873,38
1872,39
1871,39
1871,40
1872,40
1872,42
1874,42
1874,42
1874,42
1874,43
1873,43
1872,43
1872,44
1872,44
1872,44
1869,45
1869,45
1866,47
1864,47
1864,47
1863,48
1863,49
1863,48
1863,46
1863,46
1862,43
1861,41
1863,41
1863,42
1863,42
1862,42
1862,42
1862,42
1861,41
1861,42
1861,42
1861,42
1861,43
1861,43
1861,44
1861,46
1862,47
1863,47
1863,46
1863,46
1862,46
1862,47
1861,47
1861,47
1861,47
1860,49
1860,50
1860,51
1860,52
1859,53
1860,54
1860,54
1859,53
1858,53
1857,53
1858,54
1856,55
1900,1022
1899,1021
1898,1021
1896,1020
1896,1021
1896,1021
1897,1021
1898,1020
1899,1020
1897,1022
1896,1022
1896,1022
1893,1022
1892,1021
1892,1020
1892,1019
1891,1020
1890,1020
1890,1020
1891,1021
1891,1022
1894,1023
1895,1024
1895,1024
1893,1022
1893,1022
1894,1021
1894,1021
1894,1021
1893,1021
1893,1022
1892,1021
1892,1020
1892,1020
1893,1021
1893,1021
1893,1021
1893,1021
1893,1021
1891,1022
1890,1022
1889,1024
1888,1023
1888,1023
1888,1022
1889,1022
1889,1022
1889,1022
1890,1022
1890,1022
1890,1022
1891,1023
1892,1023
1893,1024
1893,1025
1892,1026
1891,1027
1891,1027
1891,1028
1891,1030
1892,1030
1890,1029
1890,1029
1891,1030
1891,1029
1891,1029
1890,1028
1889,1027
1889,1027
1887,1026
1886,1026
1885,1025
1885,1024
1885,1023
1885,1023
1886,1023
1886,1022
1884,1023
1883,1023
1882,1023
1882,1023
1883,1023
1882,1024
1882,1023
1880,1021
1880,1022
1878,1021
1878,1020
1877,1020
1877,1019
1877,1019
1877,1020
1877,1023
1877,1025
1877,1026
1877,1027
1877,1028
1877,1027
1875,1024
1875,1023
1875,1024
1876,1024
1877,1022
1877,1021
1876,1020
1876,1019
1874,1019
1874,1019
1873,1019
1874,1018
1875,1018
1876,1018
1876,1019
1876,1020
1876,1020
1876,1020
1876,1020
1877,1021
1877,1022
1877,1026
1877,1027
1878,1029
1878,1029
1878,1029
1876,1030
1875,1030
1874,1030
1874,1029
1875,1027
1874,1026
1874,1025
1873,1025
1873,1025
1872,1025
1872,1025
1870,1025
1871,1026
1870,1026
1869,1026
1868,1026
1868,1026
1868,1026
1868,1026
1867,1025
1868,1026
1868,1026
1869,1027
1870,1028
1869,1028
1870,1028
946,535
945,535
944,534
943,534
942,534
944,534
944,536
943,536
943,536
944,536
944,535
946,536
946,536
947,537
947,537
948,537
948,538
948,539
948,539
950,537
949,537
947,538
946,538
944,539
944,539
945,539
946,539
946,539
943,539
942,539
943,539
944,539
943,539
944,539
943,539
943,539
943,539
942,539
942,541
944,543
944,543
945,544
945,543
943,544
943,543
944,543
943,542
942,542
941,542
941,543
943,543
944,542
944,541
943,541
942,541
941,543
940,544
939,544
937,545
937,546
938,547
938,547
938,547
938,546
939,546
939,546
940,547
940,547
939,547
939,547
937,547
936,547
935,548
936,547
936,548
936,547
936,547
936,546
936,546
938,548
939,548
939,549
940,551
940,551
940,551
939,553
940,554
941,555
942,555
941,554
941,553
941,554
943,553
943,553
943,553
943,553
943,552
942,552
941,552
940,551
940,550
939,549
938,549
937,548
936,547
936,547
934,547
934,548
933,547
933,547
934,549
936,549
936,549
938,550
938,550
940,552
942,554
942,554
942,555
942,555
942,555
943,555
942,555
942,555
941,555
941,556
940,556
940,556
940,556
939,555
938,555
939,554
940,555
941,556
941,556
941,554
941,555
941,555
940,555
940,555
940,556
939,556
939,556
939,556
940,556
